Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
2000,1,1756611.6521,0.0000,0.4000,878.3058,878.7058,1.486301,1346.0221,0.212923,0.825233,4845679.5602
2000,2,1768273.4352,0.0000,0.4000,884.1367,884.5367,1.545964,1294.0913,0.251911,0.865229,4658728.5652
2000,3,1767237.5006,0.0000,0.4000,883.6188,884.0188,1.520002,1316.1880,0.223739,0.849355,4738276.9360
2000,4,1743410.8167,0.0000,0.4000,871.7054,872.1054,1.529788,1307.7704,0.230063,0.842748,4707973.3534
2000,5,1773254.1499,0.0000,0.4000,886.6271,887.0271,1.529061,1308.3922,0.244378,0.857109,4710211.7732
2000,6,1723779.4851,0.0000,0.4000,861.8897,862.2897,1.532602,1305.3706,0.287093,0.834709,4699334.2140
2000,7,1733107.4447,0.0000,0.4000,866.5537,866.9537,1.467884,1362.9058,0.215025,0.803976,4906460.9772
2000,8,1764470.5637,0.0000,0.4000,882.2353,882.6353,1.525135,1311.7595,0.224768,0.851337,4722334.0741
2000,9,1763841.9557,0.0000,0.4000,881.9210,882.3210,1.505143,1329.1770,0.234949,0.840615,4785037.1475
2000,10,1740974.7589,0.0000,0.4000,870.4874,870.8874,1.511528,1323.5642,0.228478,0.832155,4764831.2540
