Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
5000,1,20956027.7929,0.0000,0.4000,4191.2056,4191.6056,0.115568,43264.9931,0.809518,0.520086,155753975.2430
5000,2,21349590.7977,0.0000,0.4000,4269.9182,4270.3182,0.084148,59419.3264,0.838722,0.381720,213909575.1872
5000,3,20934586.2064,0.0000,0.4000,4186.9172,4187.3172,0.125896,39715.6421,0.771082,0.570199,142976311.4488
5000,4,20788484.5991,0.0000,0.4000,4157.6969,4158.0969,0.124143,40276.6302,0.795915,0.554314,144995868.5680
5000,5,20926172.8203,0.0000,0.4000,4185.2346,4185.6346,0.146896,34038.1298,0.738317,0.667404,122537267.4062
5000,6,20614669.3849,0.0000,0.4000,4122.9339,4123.3339,0.128363,38952.5707,0.854988,0.566647,140229254.6485
5000,7,20966835.7862,0.0000,0.4000,4193.3672,4193.7672,0.101499,49261.9846,0.831063,0.450590,177343144.6608
5000,8,21120462.1159,0.0000,0.4000,4224.0924,4224.4924,0.100271,49865.4869,0.830849,0.453665,179515752.7092
5000,9,20980093.5607,0.0000,0.4000,4196.0187,4196.4187,0.090710,55121.1975,0.843372,0.410622,198436311.0725
5000,10,20656804.5718,0.0000,0.4000,4131.3609,4131.7609,0.112811,44322.3010,0.754145,0.503394,159560283.5103
