Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
3000,1,3943674.7604,0.0000,0.4000,1314.5583,1314.9583,1.538979,1949.7449,0.217725,0.856864,7019081.7601
3000,2,3972465.4615,0.0000,0.4000,1324.1552,1324.5552,1.495157,2006.8776,0.242431,0.839129,7224759.3443
3000,3,3965871.2449,0.0000,0.4000,1321.9571,1322.3571,1.546523,1940.2354,0.191050,0.866585,6984847.5949
3000,4,3914503.6890,0.0000,0.4000,1304.8346,1305.2346,1.500229,2000.0954,0.232831,0.828769,7200343.2685
3000,5,3985679.9396,0.0000,0.4000,1328.5600,1328.9600,1.519379,1974.8913,0.217458,0.854058,7109608.7253
3000,6,3869817.8995,0.0000,0.4000,1289.9393,1290.3393,1.563690,1918.9391,0.182446,0.854016,6908180.8584
3000,7,3888745.7685,0.0000,0.4000,1296.2486,1296.6486,1.464510,2048.8672,0.201672,0.804365,7375922.0773
3000,8,3962968.3834,0.0000,0.4000,1320.9895,1321.3895,1.530090,1961.0688,0.203012,0.856486,7059847.8550
3000,9,3960768.5538,0.0000,0.4000,1320.2562,1320.6562,1.518938,1975.4638,0.183859,0.850686,7111669.6646
3000,10,3912398.6104,0.0000,0.4000,1304.1329,1304.5329,1.542010,1945.9126,0.211600,0.851305,7005285.2838
