Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
1000,1,443272.4176,0.0000,0.4000,443.2724,443.6724,1.499783,667.1631,0.419351,0.834499,2401787.2921
1000,2,446901.2828,0.0000,0.4000,446.9013,447.3013,1.366477,732.2089,0.333686,0.766412,2635951.9881
1000,3,446584.6281,0.0000,0.4000,446.5846,446.9846,1.491206,670.9982,0.352142,0.835047,2415593.3684
1000,4,440886.8474,0.0000,0.4000,440.8868,441.2868,1.345817,743.4433,0.385615,0.742985,2676395.8600
1000,5,447851.7831,0.0000,0.4000,447.8518,448.2518,1.487643,672.6045,0.383205,0.835676,2421376.1159
1000,6,437735.6508,0.0000,0.4000,437.7357,438.1357,1.468858,681.2009,0.414439,0.801703,2452323.2665
1000,7,436047.7218,0.0000,0.4000,436.0477,436.4477,1.549121,645.9272,0.264559,0.850285,2325337.8860
1000,8,445398.6812,0.0000,0.4000,445.3987,445.7987,1.407021,711.1217,0.300000,0.787085,2560037.9875
1000,9,446058.0597,0.0000,0.4000,446.0581,446.4581,1.434397,697.5571,0.363219,0.802817,2511205.4462
1000,10,440348.0833,0.0000,0.4000,440.3481,440.7481,1.326223,754.4210,0.348157,0.731699,2715915.4564
