Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
9000,1,35128659.0617,0.0000,0.4000,3903.1843,3903.5843,1.572290,5724.5350,0.109177,0.873106,20608325.8534
9000,2,35416186.6877,0.0000,0.4000,3935.1319,3935.5319,1.553247,5794.7135,0.140574,0.869435,20860968.7720
9000,3,35364992.6401,0.0000,0.4000,3929.4436,3929.8436,1.588695,5665.4280,0.146361,0.887873,20395540.7628
9000,4,34874949.4431,0.0000,0.4000,3874.9944,3875.3944,1.558486,5775.2342,0.158201,0.858686,20790843.2046
9000,5,35476794.2492,0.0000,0.4000,3941.8660,3942.2660,1.601822,5619.0017,0.119551,0.898030,20228406.1565
9000,6,34485259.0692,0.0000,0.4000,3831.6955,3832.0955,1.570565,5730.8214,0.147846,0.855513,20630956.8872
9000,7,34642902.9788,0.0000,0.4000,3849.2114,3849.6114,1.601037,5621.7552,0.102710,0.877037,20238318.6410
9000,8,35302842.2990,0.0000,0.4000,3922.5380,3922.9380,1.598220,5631.6647,0.121580,0.892267,20273992.9269
9000,9,35348550.7251,0.0000,0.4000,3927.6167,3928.0167,1.577587,5705.3139,0.129957,0.881206,20539130.0374
9000,10,34877465.8331,0.0000,0.4000,3875.2740,3875.6740,1.559942,5769.8464,0.120937,0.858937,20771446.9988
