Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
7000,1,21234837.1966,0.0000,0.4000,3033.5482,3033.9482,1.581249,4427.2793,0.124641,0.876725,15938205.5321
7000,2,21383678.7184,0.0000,0.4000,3054.8112,3055.2112,1.587147,4410.8296,0.145666,0.887038,15878986.7014
7000,3,21362868.4926,0.0000,0.4000,3051.8384,3052.2384,1.537419,4553.4858,0.129878,0.857888,16392548.7090
7000,4,21069778.3606,0.0000,0.4000,3009.9683,3010.3683,1.590519,4401.4780,0.133531,0.874981,15845320.9493
7000,5,21465127.1978,0.0000,0.4000,3066.4467,3066.8467,1.550129,4516.1540,0.130210,0.867706,16258154.4058
7000,6,20852400.5016,0.0000,0.4000,2978.9144,2979.3144,1.578616,4434.6643,0.145980,0.858570,15964791.4484
7000,7,20958561.1349,0.0000,0.4000,2994.0802,2994.4802,1.587013,4411.2027,0.133914,0.868011,15880329.7983
7000,8,21356170.8396,0.0000,0.4000,3050.8815,3051.2815,1.569749,4459.7103,0.138115,0.875018,16054956.9041
7000,9,21352305.4044,0.0000,0.4000,3050.3293,3050.7293,1.586245,4413.3361,0.134273,0.884673,15888010.1056
7000,10,21066613.5321,0.0000,0.4000,3009.5162,3009.9162,1.545359,4530.0918,0.145038,0.849593,16308330.6520
