Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
9000,1,66983428.2088,0.0000,0.4000,7442.6031,7443.0031,0.125108,71938.3484,0.774863,0.563011,258978054.4112
9000,2,67611997.7791,0.0000,0.4000,7512.4442,7512.8442,0.093972,95773.4836,0.759515,0.426279,344784540.7893
9000,3,67334053.8913,0.0000,0.4000,7481.5615,7481.9615,0.112236,80188.6826,0.740585,0.508323,288679257.1811
9000,4,66502640.7795,0.0000,0.4000,7389.1823,7389.5823,0.135454,66443.6021,0.703615,0.604814,239196967.4104
9000,5,67352107.8686,0.0000,0.4000,7483.5675,7483.9675,0.126393,71206.5958,0.676770,0.574248,256343744.8262
9000,6,65647252.0869,0.0000,0.4000,7294.1391,7294.5391,0.124114,72514.3757,0.666897,0.547885,261051752.5724
9000,7,66164364.2455,0.0000,0.4000,7351.5960,7351.9960,0.122170,73668.2127,0.779815,0.542349,265205565.7629
9000,8,66997205.3954,0.0000,0.4000,7444.1339,7444.5339,0.132681,67832.1075,0.692900,0.600297,244195586.8977
9000,9,67249920.3633,0.0000,0.4000,7472.2134,7472.6134,0.133517,67407.5683,0.694789,0.604392,242667245.7015
9000,10,66316742.1367,0.0000,0.4000,7368.5269,7368.9269,0.130283,69081.0100,0.788144,0.581350,248691636.1301
