Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
8000,1,27830189.9034,0.0000,0.4000,3478.7737,3479.1737,1.566795,5106.3644,0.128351,0.870324,18382911.8758
8000,2,28019593.2987,0.0000,0.4000,3502.4492,3502.8492,1.590023,5031.7731,0.147112,0.890296,18114383.2464
8000,3,27967629.0188,0.0000,0.4000,3495.9536,3496.3536,1.538981,5198.6454,0.154435,0.860355,18715123.5219
8000,4,27598180.3153,0.0000,0.4000,3449.7725,3450.1725,1.552590,5153.0795,0.139757,0.855702,18551086.1613
8000,5,28079985.6219,0.0000,0.4000,3509.9982,3510.3982,1.564719,5113.1388,0.147505,0.877500,18407299.7446
8000,6,27294030.0527,0.0000,0.4000,3411.7538,3412.1538,1.565754,5109.7593,0.116139,0.853156,18395133.6161
8000,7,27433142.6299,0.0000,0.4000,3429.1428,3429.5428,1.574069,5082.7681,0.127418,0.862530,18297965.2140
8000,8,27937055.4819,0.0000,0.4000,3492.1319,3492.5319,1.565152,5111.7244,0.135720,0.874076,18402207.8024
8000,9,27972410.4151,0.0000,0.4000,3496.5513,3496.9513,1.561076,5125.0714,0.128742,0.872253,18450257.1331
8000,10,27581770.0995,0.0000,0.4000,3447.7213,3448.1213,1.582971,5054.1892,0.129487,0.871887,18195081.1310
