Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
4000,1,13370270.5420,0.0000,0.4000,3342.5676,3342.9676,0.172382,23204.7203,0.676103,0.775090,83536993.1803
4000,2,13552133.0831,0.0000,0.4000,3388.0333,3388.4333,0.163656,24441.9377,0.748950,0.741745,87990975.7674
4000,3,13423732.5355,0.0000,0.4000,3355.9331,3356.3331,0.170357,23480.5433,0.598547,0.770896,84529955.8056
4000,4,13224990.6034,0.0000,0.4000,3306.2477,3306.6477,0.172301,23215.6227,0.694939,0.768679,83576241.6639
4000,5,13476894.9325,0.0000,0.4000,3369.2237,3369.6237,0.168293,23768.4462,0.675006,0.763958,85566406.2052
4000,6,13117364.2193,0.0000,0.4000,3279.3411,3279.7411,0.172375,23205.5948,0.627946,0.760278,83540141.2693
4000,7,13160157.1086,0.0000,0.4000,3290.0393,3290.4393,0.177537,22530.9540,0.711946,0.787465,81111434.5114
4000,8,13511195.8143,0.0000,0.4000,3377.7990,3378.1990,0.173149,23101.8949,0.825446,0.782717,83166821.7870
4000,9,13475423.3022,0.0000,0.4000,3368.8558,3369.2558,0.173861,23007.2260,0.866302,0.786347,82826013.5699
4000,10,13236769.7096,0.0000,0.4000,3309.1924,3309.5924,0.169938,23538.4244,0.760055,0.757652,84738327.8289
