Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
RandStratified8000,1,53162842.1426,0.0000,0.4000,6645.3553,6645.7553,0.182502,43835.4746,0.423882,0.823346,157807708.7101
RandStratified8000,2,53689966.4447,0.0000,0.4000,6711.2458,6711.6458,0.174274,45905.0656,0.601829,0.792519,165258236.3251
RandStratified8000,3,53744237.6408,0.0000,0.4000,6718.0297,6718.4297,0.181170,44157.8937,0.594886,0.822575,158968417.4822
RandStratified8000,4,52868173.5803,0.0000,0.4000,6608.5217,6608.9217,0.183548,43585.6720,0.550546,0.821602,156908419.2676
RandStratified8000,5,53817417.7744,0.0000,0.4000,6727.1772,6727.5772,0.178417,44839.1949,0.656358,0.812629,161421101.6786
RandStratified8000,6,52316039.9796,0.0000,0.4000,6539.5050,6539.9050,0.187098,42758.6841,0.507871,0.827981,153931262.8732
RandStratified8000,7,52774464.8648,0.0000,0.4000,6596.8081,6597.2081,0.180616,44293.3847,0.700926,0.803806,159456184.8011
RandStratified8000,8,53782396.6269,0.0000,0.4000,6722.7996,6723.1996,0.177969,44952.0343,0.554541,0.807203,161827323.4191
RandStratified8000,9,53775415.0371,0.0000,0.4000,6721.9269,6722.3269,0.175980,45460.2050,0.741241,0.798595,163656738.1660
RandStratified8000,10,53038673.4449,0.0000,0.4000,6629.8342,6630.2342,0.179079,44673.5394,0.580476,0.801081,160824741.6745
