Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
6000,1,29537461.2927,0.0000,0.4000,4922.9102,4923.3102,0.175776,34134.7034,0.663364,0.789530,122884932.0977
6000,2,29630502.9526,0.0000,0.4000,4938.4172,4938.8172,0.174352,34413.4951,0.844189,0.789402,123888582.5320
6000,3,29556677.0357,0.0000,0.4000,4926.1128,4926.5128,0.177969,33714.1633,0.512021,0.804503,121370988.0427
6000,4,29237401.8280,0.0000,0.4000,4872.9003,4873.3003,0.176670,33962.0947,0.684527,0.787349,122263540.8611
6000,5,29674113.1099,0.0000,0.4000,4945.6855,4946.0855,0.180795,33187.1183,0.663875,0.819855,119473625.7137
6000,6,28936578.9803,0.0000,0.4000,4822.7632,4823.1632,0.177263,33848.4399,0.661857,0.781020,121854383.5670
6000,7,29024352.9318,0.0000,0.4000,4837.3922,4837.7922,0.183112,32767.2455,0.613045,0.811347,117962083.8467
6000,8,29584895.8193,0.0000,0.4000,4930.8160,4931.2160,0.176998,33899.0752,0.732452,0.799283,122036670.7173
6000,9,29719924.9399,0.0000,0.4000,4953.3208,4953.7208,0.175340,34219.6682,0.601540,0.792207,123190805.3517
6000,10,29039438.4917,0.0000,0.4000,4839.9064,4840.3064,0.180988,33151.7515,0.613634,0.806077,119346305.2395
