Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
3000,1,7752660.5297,0.0000,0.4000,2584.2202,2584.6202,0.163486,18350.5565,0.866644,0.737280,66062003.3079
3000,2,7742430.7468,0.0000,0.4000,2580.8102,2581.2102,0.165539,18123.0077,0.826289,0.752513,65242827.8046
3000,3,7771652.6396,0.0000,0.4000,2590.5509,2590.9509,0.159973,18753.5123,0.791821,0.726064,67512644.1445
3000,4,7642387.1288,0.0000,0.4000,2547.4624,2547.8624,0.163668,18330.2437,0.816167,0.732336,65988877.3351
3000,5,7776264.6973,0.0000,0.4000,2592.0882,2592.4882,0.159559,18802.2441,0.899142,0.726464,67688078.8748
3000,6,7650410.5678,0.0000,0.4000,2550.1369,2550.5369,0.158528,18924.4620,0.862861,0.701285,68128063.0424
3000,7,7672593.9125,0.0000,0.4000,2557.5313,2557.9313,0.160543,18686.9974,0.751299,0.714207,67273190.7661
3000,8,7673883.3182,0.0000,0.4000,2557.9611,2558.3611,0.172925,17348.9763,0.759516,0.784030,62456314.5501
3000,9,7766195.1983,0.0000,0.4000,2588.7317,2589.1317,0.158883,18882.1708,0.749009,0.720741,67975814.9907
3000,10,7652714.2677,0.0000,0.4000,2550.9048,2551.3048,0.167012,17963.2087,0.861223,0.746821,64667551.4701
