Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
10000,1,81012859.7554,0.0000,0.4000,8101.2860,8101.6860,0.182090,54918.4408,0.786941,0.817938,197706386.9778
10000,2,81373699.5833,0.0000,0.4000,8137.3700,8137.7700,0.185268,53976.1253,0.385861,0.838879,194314051.0373
10000,3,81470668.1798,0.0000,0.4000,8147.0668,8147.4668,0.184949,54069.4350,0.529994,0.836108,194649966.0457
10000,4,80253834.9406,0.0000,0.4000,8025.3835,8025.7835,0.183053,54629.2673,0.564485,0.815850,196665362.1966
10000,5,81883687.3863,0.0000,0.4000,8188.3687,8188.7687,0.189757,52699.3136,0.408982,0.860549,189717528.9194
10000,6,79316155.9904,0.0000,0.4000,7931.6156,7932.0156,0.194567,51396.5702,0.496197,0.857316,185027652.7911
10000,7,79948559.0551,0.0000,0.4000,7994.8559,7995.2559,0.185613,53875.9594,0.583017,0.822480,193953453.9690
10000,8,81402958.2406,0.0000,0.4000,8140.2958,8140.6958,0.183332,54546.3542,0.656347,0.827936,196366874.9650
10000,9,81835081.5821,0.0000,0.4000,8183.5082,8183.9082,0.181411,55123.9120,0.653060,0.819688,198446083.3313
10000,10,80192266.8023,0.0000,0.4000,8019.2267,8019.6267,0.187041,53464.6181,0.524239,0.833088,192472625.0946
