Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
1000,1,450377.7139,0.0000,0.4000,450.3777,450.7777,1.558136,642.1924,0.511106,0.866968,2311892.7106
1000,2,452604.1928,0.0000,0.4000,452.6042,453.0042,1.508525,663.2993,0.458432,0.846082,2387877.3238
1000,3,452131.6998,0.0000,0.4000,452.1317,452.5317,1.492757,670.3014,0.557879,0.835915,2413084.8992
1000,4,446284.7286,0.0000,0.4000,446.2847,446.6847,1.526997,655.2801,0.528111,0.843010,2359008.5110
1000,5,453561.5563,0.0000,0.4000,453.5616,453.9616,1.472610,679.4662,0.550190,0.827232,2446078.2992
1000,6,440208.4787,0.0000,0.4000,440.2085,440.6085,1.534440,652.1034,0.536968,0.837498,2347572.3212
1000,7,445222.2266,0.0000,0.4000,445.2222,445.6222,1.487641,672.6053,0.563428,0.816540,2421379.2252
1000,8,450128.6394,0.0000,0.4000,450.1286,450.5286,1.516552,659.7905,0.535258,0.848357,2375245.9707
1000,9,451087.1739,0.0000,0.4000,451.0872,451.4872,1.526260,655.5963,0.580346,0.854232,2360146.6510
1000,10,447794.5762,0.0000,0.4000,447.7946,448.1946,1.494953,669.3173,0.531035,0.824790,2409542.1925
