Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
9000,1,66416685.0109,0.0000,0.4000,7379.6317,7380.0317,0.186206,48334.0727,0.552672,0.837964,174002661.8099
9000,2,67021941.7891,0.0000,0.4000,7446.8824,7447.2824,0.182650,49275.0364,0.524434,0.828541,177390131.0999
9000,3,66687390.8397,0.0000,0.4000,7409.7101,7410.1101,0.180456,49873.9760,0.503482,0.817298,179546313.5406
9000,4,65920926.5380,0.0000,0.4000,7324.5474,7324.9474,0.189736,47434.7883,0.418789,0.847186,170765237.8125
9000,5,67196138.3637,0.0000,0.4000,7466.2376,7466.6376,0.183785,48970.5678,0.564802,0.834998,176294044.0543
9000,6,65259834.9333,0.0000,0.4000,7251.0928,7251.4928,0.187879,47903.5106,0.513357,0.829369,172452638.0836
9000,7,65520891.2476,0.0000,0.4000,7280.0990,7280.4990,0.182593,49290.2956,0.705635,0.810586,177445064.2633
9000,8,66856723.9037,0.0000,0.4000,7428.5249,7428.9249,0.182369,49350.8219,0.642890,0.825103,177662958.6644
9000,9,66748175.7150,0.0000,0.4000,7416.4640,7416.8640,0.179866,50037.6281,0.495057,0.814201,180135461.1181
9000,10,66096552.9540,0.0000,0.4000,7344.0614,7344.4614,0.184477,48786.8977,0.578026,0.823179,175632831.7100
