Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
7000,1,39909753.6896,0.0000,0.4000,5701.3934,5701.7934,0.177537,39428.7695,0.557176,0.797429,141943570.0473
7000,2,40173377.0134,0.0000,0.4000,5739.0539,5739.4539,0.179507,38996.1862,0.652699,0.812728,140386270.3659
7000,3,40054266.5118,0.0000,0.4000,5722.0381,5722.4381,0.180149,38857.1602,0.549810,0.814348,139885776.7749
7000,4,39336653.0954,0.0000,0.4000,5619.5219,5619.9219,0.183420,38164.0782,0.610192,0.817424,137390681.6841
7000,5,40278624.1545,0.0000,0.4000,5754.0892,5754.4892,0.171795,40746.5354,0.635951,0.779034,146687527.3185
7000,6,38933911.5301,0.0000,0.4000,5561.9874,5562.3874,0.180802,38716.8022,0.673258,0.796603,139380487.7893
7000,7,39244850.7414,0.0000,0.4000,5606.4072,5606.8072,0.183244,38200.9354,0.578417,0.811920,137523367.3315
7000,8,39873283.1494,0.0000,0.4000,5696.1833,5696.5833,0.186165,37601.4025,0.547385,0.840669,135365049.1743
7000,9,40205124.8644,0.0000,0.4000,5743.5893,5743.9893,0.174198,40184.6156,0.732667,0.787037,144664616.1110
7000,10,39416188.6471,0.0000,0.4000,5630.8841,5631.2841,0.185469,37742.5196,0.618137,0.826025,135873070.6918
