Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
9000,1,35163324.2246,0.0000,0.4000,3907.0360,3907.4360,1.664905,5406.1137,0.236309,0.924536,19462009.2183
9000,2,35435168.6543,0.0000,0.4000,3937.2410,3937.6410,1.661507,5417.1706,0.257168,0.930034,19501814.3240
9000,3,35331075.3369,0.0000,0.4000,3925.6750,3926.0750,1.686024,5338.4013,0.230720,0.942267,19218244.8158
9000,4,34839971.0338,0.0000,0.4000,3871.1079,3871.5079,1.701737,5289.1138,0.234089,0.937614,19040809.5582
9000,5,35437936.8900,0.0000,0.4000,3937.5485,3937.9485,1.673531,5378.2492,0.208229,0.938232,19361697.2958
9000,6,34508973.1229,0.0000,0.4000,3834.3303,3834.7303,1.683082,5347.7335,0.233025,0.916803,19251840.7032
9000,7,34653810.9881,0.0000,0.4000,3850.4234,3850.8234,1.699939,5294.7069,0.233012,0.931215,19060944.6764
9000,8,35330787.7935,0.0000,0.4000,3925.6431,3926.0431,1.665390,5404.5397,0.304277,0.929768,19456342.8456
9000,9,35334894.4835,0.0000,0.4000,3926.0994,3926.4994,1.670329,5388.5600,0.275749,0.933010,19398815.8373
9000,10,34798041.6069,0.0000,0.4000,3866.4491,3866.8491,1.698286,5299.8606,0.261454,0.935113,19079498.2226
