Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
8000,1,27807228.6890,0.0000,0.4000,3475.9036,3476.3036,1.651163,4845.4704,0.260224,0.917189,17443693.3234
8000,2,28000322.8444,0.0000,0.4000,3500.0404,3500.4404,1.663752,4808.8100,0.202634,0.931579,17311716.0350
8000,3,27975907.3465,0.0000,0.4000,3496.9884,3497.3884,1.671071,4787.7483,0.282024,0.934199,17235893.9303
8000,4,27565638.5952,0.0000,0.4000,3445.7048,3446.1048,1.686693,4743.4080,0.229570,0.929612,17076268.9269
8000,5,28046483.1709,0.0000,0.4000,3505.8104,3506.2104,1.653217,4839.4498,0.211162,0.927130,17422019.2623
8000,6,27274459.2105,0.0000,0.4000,3409.3074,3409.7074,1.695411,4719.0186,0.253150,0.923804,16988467.0660
8000,7,27385340.7834,0.0000,0.4000,3423.1676,3423.5676,1.703167,4697.5309,0.250313,0.933271,16911111.2351
8000,8,27928728.7206,0.0000,0.4000,3491.0911,3491.4911,1.676012,4773.6344,0.277354,0.935987,17185083.7432
8000,9,27955327.3466,0.0000,0.4000,3494.4159,3494.8159,1.656104,4831.0155,0.274360,0.925350,17391655.6467
8000,10,27547644.8853,0.0000,0.4000,3443.4556,3443.8556,1.686317,4744.4663,0.282745,0.928809,17080078.5657
