Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
7000,1,21248024.9355,0.0000,0.4000,3035.4321,3035.8321,1.673117,4184.2070,0.256626,0.927661,15063145.0211
7000,2,21406852.2575,0.0000,0.4000,3058.1218,3058.5218,1.658885,4220.1021,0.258331,0.927132,15192367.4851
7000,3,21408641.1556,0.0000,0.4000,3058.3773,3058.7773,1.619915,4321.6153,0.238691,0.903921,15557814.9218
7000,4,21047665.9430,0.0000,0.4000,3006.8094,3007.2094,1.690920,4140.1591,0.234246,0.930214,14904572.8551
7000,5,21436444.9845,0.0000,0.4000,3062.3493,3062.7493,1.654222,4231.9955,0.272812,0.925974,15235183.6852
7000,6,20828415.9258,0.0000,0.4000,2975.4880,2975.8880,1.716339,4078.8479,0.230814,0.933474,14683852.5703
7000,7,20948495.3370,0.0000,0.4000,2992.6422,2993.0422,1.678838,4169.9497,0.230316,0.918234,15011818.7409
7000,8,21308186.5178,0.0000,0.4000,3044.0266,3044.4266,1.688234,4146.7443,0.260487,0.941065,14928279.3832
7000,9,21334461.8245,0.0000,0.4000,3047.7803,3048.1803,1.672320,4186.2026,0.286984,0.932678,15070329.3330
7000,10,21057104.4466,0.0000,0.4000,3008.1578,3008.5578,1.674737,4180.1620,0.266389,0.920721,15048583.1617
