Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
4000,1,6959235.9154,0.0000,0.4000,1739.8090,1740.2090,1.627517,2458.1310,0.352210,0.900665,8849271.5801
4000,2,7002017.5023,0.0000,0.4000,1750.5044,1750.9044,1.638654,2441.4278,0.280079,0.914086,8789139.9903
4000,3,6987594.0571,0.0000,0.4000,1746.8985,1747.2985,1.654960,2417.3770,0.272603,0.921723,8702557.2362
4000,4,6894067.8122,0.0000,0.4000,1723.5170,1723.9170,1.652352,2421.1914,0.386077,0.907271,8716288.9968
4000,5,7028211.1539,0.0000,0.4000,1757.0528,1757.4528,1.619581,2470.1743,0.420444,0.904861,8892627.3501
4000,6,6841622.6917,0.0000,0.4000,1710.4057,1710.8057,1.646880,2429.2354,0.412427,0.893996,8745247.3897
4000,7,6852875.8267,0.0000,0.4000,1713.2190,1713.6190,1.674975,2388.4948,0.315805,0.914382,8598581.2354
4000,8,6988970.3814,0.0000,0.4000,1747.2426,1747.6426,1.652537,2420.9204,0.301830,0.919417,8715313.3796
4000,9,6983897.0382,0.0000,0.4000,1745.9743,1746.3743,1.638916,2441.0381,0.303713,0.912313,8787737.0862
4000,10,6901366.3759,0.0000,0.4000,1725.3416,1725.7416,1.663198,2405.4058,0.424676,0.912641,8659460.8712
