Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
5000,1,10817158.4889,0.0000,0.4000,2163.4317,2163.8317,1.646744,3036.6952,0.259184,0.910207,10932102.5785
5000,2,10893079.4744,0.0000,0.4000,2178.6159,2179.0159,1.639154,3050.7545,0.257909,0.913263,10982716.3260
5000,3,10907419.1784,0.0000,0.4000,2181.4838,2181.8838,1.628071,3071.5191,0.288939,0.905655,11057468.6309
5000,4,10728102.6357,0.0000,0.4000,2145.6205,2146.0205,1.673251,2988.5946,0.392265,0.917639,10758940.5069
5000,5,10938270.7145,0.0000,0.4000,2187.6541,2188.0541,1.623575,3080.0237,0.311900,0.906000,11088085.1964
5000,6,10602058.7772,0.0000,0.4000,2120.4118,2120.8118,1.699792,2941.9360,0.257556,0.921608,10590969.6393
5000,7,10647694.4436,0.0000,0.4000,2129.5389,2129.9389,1.692123,2955.2681,0.274116,0.922630,10638965.1377
5000,8,10870916.0620,0.0000,0.4000,2174.1832,2174.5832,1.649024,3032.4971,0.337459,0.916357,10916989.5430
5000,9,10874126.1171,0.0000,0.4000,2174.8252,2175.2252,1.645193,3039.5563,0.316761,0.914704,10942402.5789
5000,10,10716721.6233,0.0000,0.4000,2143.3443,2143.7443,1.674052,2987.1649,0.269161,0.917490,10753793.7289
