Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
2000,1,1768164.2052,0.0000,0.4000,884.0821,884.4821,1.579652,1266.5020,0.480453,0.877063,4559407.2219
2000,2,1781327.9289,0.0000,0.4000,890.6640,891.0640,1.571346,1273.1938,0.429678,0.879435,4583497.7435
2000,3,1775568.5934,0.0000,0.4000,887.7843,888.1843,1.576839,1268.7606,0.430148,0.881115,4567538.1124
2000,4,1762622.6605,0.0000,0.4000,881.3113,881.7113,1.576171,1269.2981,0.545278,0.868300,4569473.0201
2000,5,1783044.3693,0.0000,0.4000,891.5222,891.9222,1.589668,1258.5241,0.437908,0.891083,4530686.8435
2000,6,1733579.1652,0.0000,0.4000,866.7896,867.1896,1.617579,1236.8155,0.412562,0.880991,4452535.9083
2000,7,1740467.9963,0.0000,0.4000,870.2340,870.6340,1.608556,1243.7513,0.401817,0.881024,4477504.6840
2000,8,1775349.4113,0.0000,0.4000,887.6747,888.0747,1.587384,1260.3346,0.333069,0.886085,4537204.4531
2000,9,1775509.6348,0.0000,0.4000,887.7548,888.1548,1.585906,1261.5087,0.461310,0.885721,4541431.3849
2000,10,1756708.4530,0.0000,0.4000,878.3542,878.7542,1.592348,1256.4065,0.504357,0.876650,4523063.3759
