Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
7000,1,40315112.7545,0.0000,0.4000,5759.3018,5759.7018,0.111734,62649.2251,0.806612,0.501866,225537210.5328
7000,2,40248722.9705,0.0000,0.4000,5749.8176,5750.2176,0.132278,52919.1442,0.646346,0.598899,190508919.1081
7000,3,40392669.6364,0.0000,0.4000,5770.3814,5770.7814,0.116391,60142.4732,0.788856,0.526136,216512903.3515
7000,4,40006627.2460,0.0000,0.4000,5715.2325,5715.6325,0.118223,59210.4368,0.846945,0.526869,213157572.5971
7000,5,40600118.1268,0.0000,0.4000,5800.0169,5800.4169,0.127071,55087.6711,0.812018,0.576224,198315615.8438
7000,6,39302996.5468,0.0000,0.4000,5614.7138,5615.1138,0.126439,55362.8690,0.729920,0.557085,199306328.4298
7000,7,39448008.9200,0.0000,0.4000,5635.4298,5635.8298,0.140556,49802.5228,0.706956,0.622780,179289082.1227
7000,8,40506264.6533,0.0000,0.4000,5786.6092,5787.0092,0.111204,62947.5988,0.761309,0.502167,226611355.8186
7000,9,40756665.4595,0.0000,0.4000,5822.3808,5822.7808,0.096921,72224.2536,0.811792,0.437895,260007312.9941
7000,10,40109800.0275,0.0000,0.4000,5729.9714,5730.3714,0.129751,53949.9741,0.774829,0.577871,194219906.7616
