Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
1000,1,925168.3424,0.0000,0.4000,925.1683,925.5683,0.092469,10814.8254,0.940518,0.414001,38933371.4782
1000,2,940927.7277,0.0000,0.4000,940.9277,941.3277,0.072226,13845.7367,0.935582,0.325959,49844651.9687
1000,3,1018044.4512,0.0000,0.4000,1018.0445,1018.4445,0.041765,23944.0558,0.968377,0.188187,86198601.0401
1000,4,1001816.9937,0.0000,0.4000,1001.8170,1002.2170,0.061438,16276.8451,0.955113,0.272924,58596642.3320
1000,5,969722.3281,0.0000,0.4000,969.7223,970.1223,0.073573,13592.2964,0.961248,0.332557,48932266.9430
1000,6,939390.5551,0.0000,0.4000,939.3906,939.7906,0.070378,14209.4174,0.958807,0.309084,51153902.6615
1000,7,967908.3786,0.0000,0.4000,967.9084,968.3084,0.051429,19444.7951,0.956244,0.227139,70001262.4758
1000,8,1010087.2600,0.0000,0.4000,1010.0873,1010.4873,0.054411,18379.1764,0.962933,0.244913,66165035.1390
1000,9,980387.6645,0.0000,0.4000,980.3877,980.7877,0.057134,17503.1468,0.965456,0.257305,63011328.5106
1000,10,957001.9535,0.0000,0.4000,957.0020,957.4020,0.084059,11896.7753,0.946334,0.373172,42828391.1646
