Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
4000,1,13598308.8910,0.0000,0.4000,3399.5772,3399.9772,0.114741,34861.5519,0.828063,0.515916,125501587.0077
4000,2,13722657.4113,0.0000,0.4000,3430.6644,3431.0644,0.098427,40639.8092,0.868508,0.446104,146303313.1576
4000,3,13684208.3936,0.0000,0.4000,3421.0521,3421.4521,0.086767,46101.0636,0.882938,0.392636,165963828.7918
4000,4,13588229.1059,0.0000,0.4000,3397.0573,3397.4573,0.109483,36535.8934,0.818758,0.488431,131529216.3954
4000,5,13814586.0221,0.0000,0.4000,3453.6465,3454.0465,0.091067,43924.0683,0.904573,0.413394,158126645.8914
4000,6,13200147.7556,0.0000,0.4000,3300.0369,3300.4369,0.096553,41428.4506,0.832979,0.425856,149142422.0455
4000,7,13499913.8920,0.0000,0.4000,3374.9785,3375.3785,0.100416,39834.6788,0.848088,0.445396,143404843.6297
4000,8,13629124.8849,0.0000,0.4000,3407.2812,3407.6812,0.101643,39353.9064,0.829081,0.459475,141674063.0277
4000,9,13787251.6125,0.0000,0.4000,3446.8129,3447.2129,0.089714,44586.5623,0.886580,0.405761,160511624.1106
4000,10,13380534.9743,0.0000,0.4000,3345.1337,3345.5337,0.122166,32742.6051,0.820988,0.544668,117873378.2210
