Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
10000,1,81696294.3260,0.0000,0.4000,8169.6294,8170.0294,0.128244,77977.0419,0.791792,0.576064,280717350.6814
10000,2,82179770.5658,0.0000,0.4000,8217.9771,8218.3771,0.133153,75101.8886,0.630078,0.602905,270366799.0903
10000,3,82483403.3823,0.0000,0.4000,8248.3403,8248.7403,0.113780,87888.9939,0.760270,0.514374,316400378.0219
10000,4,80638798.8348,0.0000,0.4000,8063.8799,8064.2799,0.134821,74173.0068,0.634342,0.600882,267022824.5728
10000,5,82431270.9802,0.0000,0.4000,8243.1271,8243.5271,0.130739,76488.5216,0.693204,0.592903,275358677.7472
10000,6,80225228.4119,0.0000,0.4000,8022.5228,8022.9228,0.129448,77251.2827,0.683604,0.570385,278104617.7327
10000,7,80606704.1622,0.0000,0.4000,8060.6704,8061.0704,0.119695,83546.4006,0.734593,0.530386,300767042.2986
10000,8,81996491.1533,0.0000,0.4000,8199.6491,8200.0491,0.117701,84961.3662,0.700823,0.531545,305860918.3745
10000,9,82243712.7896,0.0000,0.4000,8224.3713,8224.7713,0.115871,86302.9569,0.714296,0.523554,310690644.9848
10000,10,80945075.7598,0.0000,0.4000,8094.5076,8094.9076,0.126682,78938.1586,0.695104,0.564247,284177371.0414
