Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
6000,1,15588225.2435,0.0000,0.4000,2598.0375,2598.4375,1.595504,3760.9670,0.144413,0.883596,13539481.0817
6000,2,15699886.6349,0.0000,0.4000,2616.6478,2617.0478,1.617366,3710.1346,0.149074,0.902873,13356484.4699
6000,3,15685942.4161,0.0000,0.4000,2614.3237,2614.7237,1.604279,3740.3989,0.146584,0.894152,13465435.9326
6000,4,15456369.4846,0.0000,0.4000,2576.0616,2576.4616,1.601640,3746.5605,0.151088,0.880071,13487617.9314
6000,5,15751764.1970,0.0000,0.4000,2625.2940,2625.6940,1.566902,3829.6121,0.158976,0.876071,13786603.5009
6000,6,15309609.7721,0.0000,0.4000,2551.6016,2552.0016,1.579360,3799.4069,0.128577,0.857972,13677864.7566
6000,7,15373336.3827,0.0000,0.4000,2562.2227,2562.6227,1.585267,3785.2520,0.143712,0.866044,13626907.1103
6000,8,15656049.5865,0.0000,0.4000,2609.3416,2609.7416,1.592938,3767.0247,0.123606,0.886908,13561288.9989
6000,9,15690932.1235,0.0000,0.4000,2615.1554,2615.5554,1.550929,3869.0497,0.166015,0.863968,13928579.0445
6000,10,15467885.3508,0.0000,0.4000,2577.9809,2578.3809,1.567429,3828.3254,0.120861,0.860721,13781971.6056
