Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
8000,1,53568161.9336,0.0000,0.4000,6696.0202,6696.4202,0.133096,60107.6084,0.693822,0.600451,216387390.3359
8000,2,54687516.4978,0.0000,0.4000,6835.9396,6836.3396,0.122677,65212.5535,0.800821,0.557876,234765192.5395
8000,3,54358364.1838,0.0000,0.4000,6794.7955,6795.1955,0.099979,80016.9561,0.805762,0.453942,288061041.9508
8000,4,53463697.3568,0.0000,0.4000,6682.9622,6683.3622,0.124605,64203.4433,0.790874,0.557758,231132395.7985
8000,5,54054512.1842,0.0000,0.4000,6756.8140,6757.2140,0.116504,68667.2791,0.733110,0.530639,247202204.7541
8000,6,52741998.6792,0.0000,0.4000,6592.7498,6593.1498,0.135324,59117.6164,0.772934,0.598862,212823419.2049
8000,7,53053506.4201,0.0000,0.4000,6631.6883,6632.0883,0.111539,71724.0376,0.813857,0.496391,258206535.3636
8000,8,53897504.8265,0.0000,0.4000,6737.1881,6737.5881,0.134428,59512.0071,0.725834,0.609714,214243225.5658
8000,9,54258019.5810,0.0000,0.4000,6782.2524,6782.6524,0.111752,71587.7575,0.710199,0.507128,257715927.1496
8000,10,53376116.5574,0.0000,0.4000,6672.0146,6672.4146,0.127558,62717.0962,0.742378,0.570610,225781546.4784
