Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
6000,1,29693224.0647,0.0000,0.4000,4948.8707,4949.2707,0.125341,47869.9423,0.815788,0.562989,172331792.3822
6000,2,30252161.1567,0.0000,0.4000,5042.0269,5042.4269,0.098172,61117.7581,0.837154,0.444485,220023929.1809
6000,3,29852949.6433,0.0000,0.4000,4975.4916,4975.8916,0.106967,56092.3414,0.776125,0.483543,201932429.0419
6000,4,29263960.1394,0.0000,0.4000,4877.3267,4877.7267,0.126385,47474.3811,0.720017,0.563249,170907771.9328
6000,5,30315275.6528,0.0000,0.4000,5052.5459,5052.9459,0.101551,59083.7466,0.862598,0.460507,212701487.8405
6000,6,29443592.5439,0.0000,0.4000,4907.2654,4907.6654,0.108692,55202.4909,0.823155,0.478895,198728967.2249
6000,7,29430821.0201,0.0000,0.4000,4905.1368,4905.5368,0.109377,54856.4250,0.789181,0.484637,197483129.9796
6000,8,29869164.9018,0.0000,0.4000,4978.1942,4978.5942,0.119944,50023.8431,0.745600,0.541639,180085835.2028
6000,9,29928830.9902,0.0000,0.4000,4988.1385,4988.5385,0.125694,47735.3426,0.780003,0.567901,171847233.2030
6000,10,29647134.5980,0.0000,0.4000,4941.1891,4941.5891,0.109681,54704.2768,0.862779,0.488495,196935396.6233
