Dataset,Trial,TotalCPUTime,TotalWaitTime,AverageStartTime,AverageExecTime,AverageFinishTime,Throughput,Makespan,ImbalanceDegree,ResourceUtilization,TotalEnergyConsumption
4000,1,6938565.0090,0.0000,0.4000,1734.6413,1735.0413,1.584990,2524.0749,0.173662,0.877130,9086669.5598
4000,2,6992477.5214,0.0000,0.4000,1748.1194,1748.5194,1.581171,2530.1702,0.215936,0.882020,9108612.8943
4000,3,6989057.2422,0.0000,0.4000,1747.2643,1747.6643,1.575339,2539.5368,0.175488,0.877379,9142332.5665
4000,4,6887271.0092,0.0000,0.4000,1721.8178,1722.2178,1.599411,2501.3199,0.212818,0.878202,9004751.5509
4000,5,7017633.9841,0.0000,0.4000,1754.4085,1754.8085,1.556293,2570.6103,0.167610,0.869502,9254196.9348
4000,6,6814497.7626,0.0000,0.4000,1703.6244,1704.0244,1.584227,2525.2915,0.209439,0.859985,9091049.3023
4000,7,6843831.5682,0.0000,0.4000,1710.9579,1711.3579,1.486338,2691.5773,0.169399,0.811404,9689678.3133
4000,8,6987723.8867,0.0000,0.4000,1746.9310,1747.3310,1.559907,2564.6557,0.192407,0.867881,9232760.6196
4000,9,6977619.3649,0.0000,0.4000,1744.4048,1744.8048,1.597382,2504.4973,0.141736,0.889193,9016190.3512
4000,10,6881115.9355,0.0000,0.4000,1720.2790,1720.6790,1.606347,2490.5213,0.178174,0.881446,8965876.8576
